Content,Tag
Best exeperience ever. The mashup of never grow up x the best day had me in shambles. So SO good. I wish I could relive it all. 🫶🏻,Memorable Night
concert was incredible. had the night of my life. if only i could have had seats with a view of the stage that’s the only thing that would have made it better! my experience with ticketmaster was another story. impossible to get tickets for this concert and ended up with no view seating as the only ticket which my aunt got for me while so many resellers got in for better tickets. hopefully next time you can figure out how to ensure real fans get tickets especially when a concert is in such high demand.,Incredible Performance
concert was incredible. had the night of my life. if only i could have had seats with a view of the stage that’s the only thing that would have made it better! my experience with ticketmaster was another story. impossible to get tickets for this concert and ended up with no view seating as the only ticket which my aunt got for me while so many resellers got in for better tickets. hopefully next time you can figure out how to ensure real fans get tickets especially when a concert is in such high demand.,Memorable Night
concert was incredible. had the night of my life. if only i could have had seats with a view of the stage that’s the only thing that would have made it better! my experience with ticketmaster was another story. impossible to get tickets for this concert and ended up with no view seating as the only ticket which my aunt got for me while so many resellers got in for better tickets. hopefully next time you can figure out how to ensure real fans get tickets especially when a concert is in such high demand.,Ticketing Issues
What an incredible show where love was in the air! Sound was excellent! Visual effects & performance of the entire team were a delight !,Incredible Performance
What an incredible show where love was in the air! Sound was excellent! Visual effects & performance of the entire team were a delight !,Amazing Production
This concert healed me in ways I didn’t know needed healing. Every moment is entertaining!!! Even if don’t know all her songs… you will have the time of your life! So sad it is over ☹️,Magical Experience
This concert healed me in ways I didn’t know needed healing. Every moment is entertaining!!! Even if don’t know all her songs… you will have the time of your life! So sad it is over ☹️,Emotional Connection
This concert healed me in ways I didn’t know needed healing. Every moment is entertaining!!! Even if don’t know all her songs… you will have the time of your life! So sad it is over ☹️,Memorable Night
It feels like Christmas morning waking up after having seen such an amazing show. New core memories were made in Swiftcouver!,Magical Experience
It feels like Christmas morning waking up after having seen such an amazing show. New core memories were made in Swiftcouver!,Memorable Night
She is a world class performer and her level of spectacle is unmatched.,Incredible Performance
She is a world class performer and her level of spectacle is unmatched.,Amazing Production
One of the best experiences of my life! Vocals and stamina are incredible on this woman 🫶,Incredible Performance
We had a great time of our lives. Taylor was really a very great artist. The vibe was so good.,Magical Experience
We had a great time of our lives. Taylor was really a very great artist. The vibe was so good.,Atmosphere and Vibe
We had a great time of our lives. Taylor was really a very great artist. The vibe was so good.,Incredible Performance
The most amazing concert experience I have ever had the opportunity to attend. Such a magical show where I felt welcomed. Love my fellow Swifties!,Magical Experience
The most amazing concert experience I have ever had the opportunity to attend. Such a magical show where I felt welcomed. Love my fellow Swifties!,Fan Community
The most amazing concert experience I have ever had the opportunity to attend. Such a magical show where I felt welcomed. Love my fellow Swifties!,Memorable Night
The best experience ever. It was a struggle getting tickets on ticketmaster. But the experience was too good. Sad it’s over!,Best Concert Ever
The best experience ever. It was a struggle getting tickets on ticketmaster. But the experience was too good. Sad it’s over!,Ticketing Issues
The best experience ever. It was a struggle getting tickets on ticketmaster. But the experience was too good. Sad it’s over!,Memorable Night
Incredible!! A non stop show for the whole three hours!! Can’t wait for her next tour. 🫶,Incredible Performance
Incredible!! A non stop show for the whole three hours!! Can’t wait for her next tour. 🫶,Long Show Duration
"Taylor Swift was one of the best concerts I have seen! It was myself and my 15 year old daughter’s first time seeing her.

We had so much fun! The stage, costumes, music, performances by Taylor and her backup singers and dancers were amazing! Taylor and her crew had so much energy! I loved how the stage had different projections on it for different songs and the middle platform stage moved up and down during the show. 

I wish I could go again!

Meeting other fans and exchanging friendship bracelets with them was so much fun.",Best Concert Ever
"Taylor Swift was one of the best concerts I have seen! It was myself and my 15 year old daughter’s first time seeing her.

We had so much fun! The stage, costumes, music, performances by Taylor and her backup singers and dancers were amazing! Taylor and her crew had so much energy! I loved how the stage had different projections on it for different songs and the middle platform stage moved up and down during the show. 

I wish I could go again!

Meeting other fans and exchanging friendship bracelets with them was so much fun.",Amazing Production
"Taylor Swift was one of the best concerts I have seen! It was myself and my 15 year old daughter’s first time seeing her.

We had so much fun! The stage, costumes, music, performances by Taylor and her backup singers and dancers were amazing! Taylor and her crew had so much energy! I loved how the stage had different projections on it for different songs and the middle platform stage moved up and down during the show. 

I wish I could go again!

Meeting other fans and exchanging friendship bracelets with them was so much fun.",Taylor Swift's Energy
"Taylor Swift was one of the best concerts I have seen! It was myself and my 15 year old daughter’s first time seeing her.

We had so much fun! The stage, costumes, music, performances by Taylor and her backup singers and dancers were amazing! Taylor and her crew had so much energy! I loved how the stage had different projections on it for different songs and the middle platform stage moved up and down during the show. 

I wish I could go again!

Meeting other fans and exchanging friendship bracelets with them was so much fun.",Fan Community
"Taylor Swift was one of the best concerts I have seen! It was myself and my 15 year old daughter’s first time seeing her.

We had so much fun! The stage, costumes, music, performances by Taylor and her backup singers and dancers were amazing! Taylor and her crew had so much energy! I loved how the stage had different projections on it for different songs and the middle platform stage moved up and down during the show. 

I wish I could go again!

Meeting other fans and exchanging friendship bracelets with them was so much fun.",Memorable Night
"Leading up to the concert the communications from Ticketmaster were great, really  informative and fed the anticipation and excitement.  The concert was amazing, awesome, wonderful!   So much energy in the stadium and so much fun.    The opening act was really good and Taylor Swift was fantastic!    

The event was well organized and well managed.   Everyone was patient and so happy to be there.

The best Friday night ever!",Incredible Performance
"Leading up to the concert the communications from Ticketmaster were great, really  informative and fed the anticipation and excitement.  The concert was amazing, awesome, wonderful!   So much energy in the stadium and so much fun.    The opening act was really good and Taylor Swift was fantastic!    

The event was well organized and well managed.   Everyone was patient and so happy to be there.

The best Friday night ever!",Taylor Swift's Energy
"Leading up to the concert the communications from Ticketmaster were great, really  informative and fed the anticipation and excitement.  The concert was amazing, awesome, wonderful!   So much energy in the stadium and so much fun.    The opening act was really good and Taylor Swift was fantastic!    

The event was well organized and well managed.   Everyone was patient and so happy to be there.

The best Friday night ever!",Overall Organization
"Leading up to the concert the communications from Ticketmaster were great, really  informative and fed the anticipation and excitement.  The concert was amazing, awesome, wonderful!   So much energy in the stadium and so much fun.    The opening act was really good and Taylor Swift was fantastic!    

The event was well organized and well managed.   Everyone was patient and so happy to be there.

The best Friday night ever!",Memorable Night
"I am so thankful that I was chosen as a verified fan to be able to attend the Eras tour concert in Vancouver. I was able to bring my sister, her friend and her friend’s sister along for a sister trip we will never forget. It was so worth it to make new memories with each other as we reminisced through the different eras of music. So happy that we were able to have The Best Day.",Memorable Night
"I am so thankful that I was chosen as a verified fan to be able to attend the Eras tour concert in Vancouver. I was able to bring my sister, her friend and her friend’s sister along for a sister trip we will never forget. It was so worth it to make new memories with each other as we reminisced through the different eras of music. So happy that we were able to have The Best Day.",Fan Community
"The night was sparkling. Don’t let it go. 💕
Big thanks to Taylor and her team for putting on an amazing show!",Incredible Performance
"The night was sparkling. Don’t let it go. 💕
Big thanks to Taylor and her team for putting on an amazing show!",Magical Experience
"The night was sparkling. Don’t let it go. 💕
Big thanks to Taylor and her team for putting on an amazing show!",Amazing Production
Taylor Swift put on an amazing experience for my family and I.  What a show!  Hope she performs again in the future soon!,Magical Experience
Taylor Swift put on an amazing experience for my family and I.  What a show!  Hope she performs again in the future soon!,Incredible Performance
Taylor Swift put on an amazing experience for my family and I.  What a show!  Hope she performs again in the future soon!,Memorable Night
"The culture Taylor creates is something that you can only feel when you are surrounded by 65,000 fans mostly women. Trading bracelets, giving eachother sparkle tattoos, tissues of your crying. It was therapy being there and was the most amazing concert. You have to see it to feel it.",Fan Community
"The culture Taylor creates is something that you can only feel when you are surrounded by 65,000 fans mostly women. Trading bracelets, giving eachother sparkle tattoos, tissues of your crying. It was therapy being there and was the most amazing concert. You have to see it to feel it.",Emotional Connection
"The culture Taylor creates is something that you can only feel when you are surrounded by 65,000 fans mostly women. Trading bracelets, giving eachother sparkle tattoos, tissues of your crying. It was therapy being there and was the most amazing concert. You have to see it to feel it.",Best Concert Ever
BEST concert of my life!!!! Taylor and her team put one heck of a show!!,Best Concert Ever
BEST concert of my life!!!! Taylor and her team put one heck of a show!!,Incredible Performance
"The end of an era ⭐️ I’m going to miss the  eras tour for so many reasons, but I’m forever thankful for the memories and joy it brought. Unforgettable experience. Thank you Taylor 🩷",Magical Experience
"The end of an era ⭐️ I’m going to miss the  eras tour for so many reasons, but I’m forever thankful for the memories and joy it brought. Unforgettable experience. Thank you Taylor 🩷",Memorable Night
"I thought we would have to stand in line for a very long time, but it was well organized. Also, the concert was phenomenal there was alot of detail and attention to the stage lighting and then you set up.",Overall Organization
"I thought we would have to stand in line for a very long time, but it was well organized. Also, the concert was phenomenal there was alot of detail and attention to the stage lighting and then you set up.",Amazing Production
I bought these tickets 13 months ago. I thought about them everyday. It was the best ever. She was more than I could have imagined. A true once in a lifetime experience.,Best Concert Ever
I bought these tickets 13 months ago. I thought about them everyday. It was the best ever. She was more than I could have imagined. A true once in a lifetime experience.,Magical Experience
I bought these tickets 13 months ago. I thought about them everyday. It was the best ever. She was more than I could have imagined. A true once in a lifetime experience.,Emotional Connection
Best performance of my life I can’t wait to go again next era if there is one🤩,Incredible Performance
Best performance of my life I can’t wait to go again next era if there is one🤩,Best Concert Ever
Best performance ever! Can’t wait for the next era :),Best Concert Ever
Everything was well organized! I was very worried about my tickets in the wallet app but it all turned out well!,Overall Organization
Everything was well organized! I was very worried about my tickets in the wallet app but it all turned out well!,Ticketing Issues
"Words truly cannot describe the experience that The Eras Tour is. This show allowed for a once in a lifetime trip with my daughter and after the year we had, I was needed and I am so grateful for it. BC Place was filled with amazingly kind staff and the artists, dancers, and crew put on a show that I dont know how they can too (I’m sure Taylor can but this was excellent and fun).",Magical Experience
"Words truly cannot describe the experience that The Eras Tour is. This show allowed for a once in a lifetime trip with my daughter and after the year we had, I was needed and I am so grateful for it. BC Place was filled with amazingly kind staff and the artists, dancers, and crew put on a show that I dont know how they can too (I’m sure Taylor can but this was excellent and fun).",Emotional Connection
"Words truly cannot describe the experience that The Eras Tour is. This show allowed for a once in a lifetime trip with my daughter and after the year we had, I was needed and I am so grateful for it. BC Place was filled with amazingly kind staff and the artists, dancers, and crew put on a show that I dont know how they can too (I’m sure Taylor can but this was excellent and fun).",Atmosphere and Vibe
"It was really worth the hype! From the production, dancers, band and of course Taylor Swift - they all did their best to pull off this spectacular show.",Amazing Production
"It was really worth the hype! From the production, dancers, band and of course Taylor Swift - they all did their best to pull off this spectacular show.",Taylor Swift's Energy
"Although the process to get tickets was a disaster and now tickets are now sold than the list price… Ticketmaster has a long way to go with this process.
Taylor Swift, and The Eras tour is simply one of the best shows ever put on. Gracie Abrams was fantastic. Taylor’s show was perfectly curated from start to finish one of the best performers of our time.",Ticketing Issues
"Although the process to get tickets was a disaster and now tickets are now sold than the list price… Ticketmaster has a long way to go with this process.
Taylor Swift, and The Eras tour is simply one of the best shows ever put on. Gracie Abrams was fantastic. Taylor’s show was perfectly curated from start to finish one of the best performers of our time.",Best Concert Ever
"Although the process to get tickets was a disaster and now tickets are now sold than the list price… Ticketmaster has a long way to go with this process.
Taylor Swift, and The Eras tour is simply one of the best shows ever put on. Gracie Abrams was fantastic. Taylor’s show was perfectly curated from start to finish one of the best performers of our time.",Taylor Swift's Energy
"Taylor Swift knows how to put on a great concert! From her gorgeous outfits, awesome sets, catchy choreography to her talented guitar and piano skills, Taylor is a true superstar! We sang and danced to so many songs from all of her Eras and the energy of the crowd was magical. Her acoustic set really showcased her musical and lyrical talent. Taylor Swift will never “go out of style!” This concert was my daughter and I’s “wildest dreams” come true and was the “best day”. Ending with the perfect song and fireworks, Karma! Thank you Taylor! Looking forward to the next era!",Magical Experience
"Taylor Swift knows how to put on a great concert! From her gorgeous outfits, awesome sets, catchy choreography to her talented guitar and piano skills, Taylor is a true superstar! We sang and danced to so many songs from all of her Eras and the energy of the crowd was magical. Her acoustic set really showcased her musical and lyrical talent. Taylor Swift will never “go out of style!” This concert was my daughter and I’s “wildest dreams” come true and was the “best day”. Ending with the perfect song and fireworks, Karma! Thank you Taylor! Looking forward to the next era!",Best Concert Ever
"Taylor Swift knows how to put on a great concert! From her gorgeous outfits, awesome sets, catchy choreography to her talented guitar and piano skills, Taylor is a true superstar! We sang and danced to so many songs from all of her Eras and the energy of the crowd was magical. Her acoustic set really showcased her musical and lyrical talent. Taylor Swift will never “go out of style!” This concert was my daughter and I’s “wildest dreams” come true and was the “best day”. Ending with the perfect song and fireworks, Karma! Thank you Taylor! Looking forward to the next era!",Taylor Swift's Energy
"Taylor Swift knows how to put on a great concert! From her gorgeous outfits, awesome sets, catchy choreography to her talented guitar and piano skills, Taylor is a true superstar! We sang and danced to so many songs from all of her Eras and the energy of the crowd was magical. Her acoustic set really showcased her musical and lyrical talent. Taylor Swift will never “go out of style!” This concert was my daughter and I’s “wildest dreams” come true and was the “best day”. Ending with the perfect song and fireworks, Karma! Thank you Taylor! Looking forward to the next era!",Memorable Night
Truly the most magical night of my entire life!!! I will never get over this night!!,Magical Experience
Truly the most magical night of my entire life!!! I will never get over this night!!,Memorable Night
"The most amazing show I’ve seen. My only complaint was my view was obstructed by the light/fire poles (section 405). We couldn’t see Taylor anytime she was in the middle of the stage (when she came out, during anything where she was on the platform). I think those tickets should have been advertised as partially obstructed.",Amazing Production
"The most amazing show I’ve seen. My only complaint was my view was obstructed by the light/fire poles (section 405). We couldn’t see Taylor anytime she was in the middle of the stage (when she came out, during anything where she was on the platform). I think those tickets should have been advertised as partially obstructed.",Ticketing Issues
"I saw Taylor Swift N1 in Vancouver with my biggest kiddo. It was quite literally the best concert I’ve ever been too. The environment was amazing, powerful, beautiful. I’ve never felt more safe, welcome and loved by a crowd of people; all ages, genders, races.",Best Concert Ever
"I saw Taylor Swift N1 in Vancouver with my biggest kiddo. It was quite literally the best concert I’ve ever been too. The environment was amazing, powerful, beautiful. I’ve never felt more safe, welcome and loved by a crowd of people; all ages, genders, races.",Atmosphere and Vibe
"I saw Taylor Swift N1 in Vancouver with my biggest kiddo. It was quite literally the best concert I’ve ever been too. The environment was amazing, powerful, beautiful. I’ve never felt more safe, welcome and loved by a crowd of people; all ages, genders, races.",Fan Community
"A one of a kind experience. Unmatched. I've been to some of Taylor's past concerts which were also wonderful. I have also seen many, many other artists perform live. Nothing compares. Taylor and her Eras Tour are quite simply magical. I would see this show over and over again. Her talents as an artist, performer, writer, poet, story teller and producer are exquisite, elegant, relatable, & vulnerable in the best way. Performing for over 3 hours at the level she served up, is mind blowing. Go Tay, go!",Magical Experience
"A one of a kind experience. Unmatched. I've been to some of Taylor's past concerts which were also wonderful. I have also seen many, many other artists perform live. Nothing compares. Taylor and her Eras Tour are quite simply magical. I would see this show over and over again. Her talents as an artist, performer, writer, poet, story teller and producer are exquisite, elegant, relatable, & vulnerable in the best way. Performing for over 3 hours at the level she served up, is mind blowing. Go Tay, go!",Long Show Duration
"This was the best concert I have ever attended! From the singing, to the music, to the dancers, and the crew, everything was magical!",Best Concert Ever
"This was the best concert I have ever attended! From the singing, to the music, to the dancers, and the crew, everything was magical!",Magical Experience
"Taylor Swift is an absolute power house. She is strong, intelligent, beautiful, and timeless. She transcends. What a privilege it was to see her perform. My daughter and I were fortunate enough to be at the Friday night Vancouver concert where two of her surprise songs were the Never Grow Up/The Best Day medley. We held each other and bawled, and made lifelong memories. Taylor Swift is a gem, a gift, and I will never forget this experience.",Emotional Connection
"Taylor Swift is an absolute power house. She is strong, intelligent, beautiful, and timeless. She transcends. What a privilege it was to see her perform. My daughter and I were fortunate enough to be at the Friday night Vancouver concert where two of her surprise songs were the Never Grow Up/The Best Day medley. We held each other and bawled, and made lifelong memories. Taylor Swift is a gem, a gift, and I will never forget this experience.",Memorable Night
Taylor Swift is an amazing human and performer. Grateful to have had the chance to watch her live.,Magical Experience
Hands down best performance /concert ever!! ❤️Taylor is so gracious and personable. Can’t wait to see what she does next.,Best Concert Ever
Hands down best performance /concert ever!! ❤️Taylor is so gracious and personable. Can’t wait to see what she does next.,Taylor Swift's Energy
"What an amazing show! I wish I could go back & experience it all again! I have never seen an artist put so much hard work and love into a performance. Endless dance choreo, dazzling costumes and genuine connection with the audience. I have so much respect for swift and her entire crew. I feel so lucky to have been able to experience the end of this era. I can't wait to see what she has in store for us next!",Magical Experience
"What an amazing show! I wish I could go back & experience it all again! I have never seen an artist put so much hard work and love into a performance. Endless dance choreo, dazzling costumes and genuine connection with the audience. I have so much respect for swift and her entire crew. I feel so lucky to have been able to experience the end of this era. I can't wait to see what she has in store for us next!",Emotional Connection
I was sitting in the side row alone the side of the stage in the first row. Taylor only came out way once she just walked up the main stage. When she did walk our way it was so fast and she didn’t even look at us in the front row for paying as many thousands as I did a little eye contact would be nice I was also at one of the last 3 shows in Vancouver and I thought she would do something special but there wasn’t anything the other shows didn’t have. The nice thing was there was lots of access to water and never a wait for the washroom.,Ticketing Issues
I was sitting in the side row alone the side of the stage in the first row. Taylor only came out way once she just walked up the main stage. When she did walk our way it was so fast and she didn’t even look at us in the front row for paying as many thousands as I did a little eye contact would be nice I was also at one of the last 3 shows in Vancouver and I thought she would do something special but there wasn’t anything the other shows didn’t have. The nice thing was there was lots of access to water and never a wait for the washroom.,Overall Organization
attending this performance I was a bit worried it wouldn't live up to the sky high expectations but they blew them through the roof! I got to 12 concerts a year and this was the best of my life. 100/10/,Best Concert Ever
No one does it like Taylor Swift!! She is the absolute best at what she does! Entertaining down to the last second!!,Best Concert Ever
No one does it like Taylor Swift!! She is the absolute best at what she does! Entertaining down to the last second!!,Taylor Swift's Energy
"The Eras Tour is has been one of the most beautiful concerts I have been to. 
Dancers, Taylor singing all the songs that have been with me for years 
I just love the Eras tours",Best Concert Ever
"The Eras Tour is has been one of the most beautiful concerts I have been to. 
Dancers, Taylor singing all the songs that have been with me for years 
I just love the Eras tours",Taylor Swift's Energy
"The Eras Tour is has been one of the most beautiful concerts I have been to. 
Dancers, Taylor singing all the songs that have been with me for years 
I just love the Eras tours",Emotional Connection
"The Eras Tour is has been one of the most beautiful concerts I have been to. 
Dancers, Taylor singing all the songs that have been with me for years 
I just love the Eras tours",Memorable Night
The Eras Tour was hands down the best concert that I ever went to. Taylor takes you through each era of her music and even if you are seeing her for the first time or have seen her for multiple times it feels as if you have been apart of her musical journey since the beginning. Her tour production is out of this world and her vocals sound amazing live! Truly an incredible night that I did not want to end. If ever given the chance to see her perform live I fully recommend buying a ticket. I’m already looking forward to the next time she goes on tour.,Best Concert Ever
The Eras Tour was hands down the best concert that I ever went to. Taylor takes you through each era of her music and even if you are seeing her for the first time or have seen her for multiple times it feels as if you have been apart of her musical journey since the beginning. Her tour production is out of this world and her vocals sound amazing live! Truly an incredible night that I did not want to end. If ever given the chance to see her perform live I fully recommend buying a ticket. I’m already looking forward to the next time she goes on tour.,Amazing Production
The Eras Tour was hands down the best concert that I ever went to. Taylor takes you through each era of her music and even if you are seeing her for the first time or have seen her for multiple times it feels as if you have been apart of her musical journey since the beginning. Her tour production is out of this world and her vocals sound amazing live! Truly an incredible night that I did not want to end. If ever given the chance to see her perform live I fully recommend buying a ticket. I’m already looking forward to the next time she goes on tour.,Memorable Night
"I don't even know where to begin! This was the most phenomenal concert experience of my life. 
From the second Taylor stepped on stage until the final bows, the entire crowd was absolutely captivated.
Every single detail was perfect. The theatrics were mind-blowing, the costumes were stunning, and the way the setlist flowed through all her musical eras was genius. The light show and pyrotechnics were out of this world, and the wristbands that lit up and synced with the music created the most magical atmosphere.
Taylor's energy was infectious! She poured her heart and soul into every song for 3.5 hours straight. It was an emotional rollercoaster, filled with joy, nostalgia, and pure magic. This is a night I will cherish forever.
If you ever get the chance to see Taylor Swift live, DO IT! You won't regret it.",Magical Experience
"I don't even know where to begin! This was the most phenomenal concert experience of my life. 
From the second Taylor stepped on stage until the final bows, the entire crowd was absolutely captivated.
Every single detail was perfect. The theatrics were mind-blowing, the costumes were stunning, and the way the setlist flowed through all her musical eras was genius. The light show and pyrotechnics were out of this world, and the wristbands that lit up and synced with the music created the most magical atmosphere.
Taylor's energy was infectious! She poured her heart and soul into every song for 3.5 hours straight. It was an emotional rollercoaster, filled with joy, nostalgia, and pure magic. This is a night I will cherish forever.
If you ever get the chance to see Taylor Swift live, DO IT! You won't regret it.",Taylor Swift's Energy
"I don't even know where to begin! This was the most phenomenal concert experience of my life. 
From the second Taylor stepped on stage until the final bows, the entire crowd was absolutely captivated.
Every single detail was perfect. The theatrics were mind-blowing, the costumes were stunning, and the way the setlist flowed through all her musical eras was genius. The light show and pyrotechnics were out of this world, and the wristbands that lit up and synced with the music created the most magical atmosphere.
Taylor's energy was infectious! She poured her heart and soul into every song for 3.5 hours straight. It was an emotional rollercoaster, filled with joy, nostalgia, and pure magic. This is a night I will cherish forever.
If you ever get the chance to see Taylor Swift live, DO IT! You won't regret it.",Emotional Connection
"I don't even know where to begin! This was the most phenomenal concert experience of my life. 
From the second Taylor stepped on stage until the final bows, the entire crowd was absolutely captivated.
Every single detail was perfect. The theatrics were mind-blowing, the costumes were stunning, and the way the setlist flowed through all her musical eras was genius. The light show and pyrotechnics were out of this world, and the wristbands that lit up and synced with the music created the most magical atmosphere.
Taylor's energy was infectious! She poured her heart and soul into every song for 3.5 hours straight. It was an emotional rollercoaster, filled with joy, nostalgia, and pure magic. This is a night I will cherish forever.
If you ever get the chance to see Taylor Swift live, DO IT! You won't regret it.",Atmosphere and Vibe
"I don't even know where to begin! This was the most phenomenal concert experience of my life. 
From the second Taylor stepped on stage until the final bows, the entire crowd was absolutely captivated.
Every single detail was perfect. The theatrics were mind-blowing, the costumes were stunning, and the way the setlist flowed through all her musical eras was genius. The light show and pyrotechnics were out of this world, and the wristbands that lit up and synced with the music created the most magical atmosphere.
Taylor's energy was infectious! She poured her heart and soul into every song for 3.5 hours straight. It was an emotional rollercoaster, filled with joy, nostalgia, and pure magic. This is a night I will cherish forever.
If you ever get the chance to see Taylor Swift live, DO IT! You won't regret it.",Memorable Night
"This was the best concert, she’s so talented and the atmosphere in the stadium was unreal.",Best Concert Ever
"This was the best concert, she’s so talented and the atmosphere in the stadium was unreal.",Atmosphere and Vibe
"Taylor Swift puts on an amazing concert. FIVE STARS for the concert itself. 2 STARS for the VIP tickets.  I thought the VIP tickets that we bought for a big upcharge did not include half the things it said it would. There was no VIP entrance, No dedicated merchandise section, the seats we had were not cushioned and actually had an obstructed view. There was a camera tower that blocked the center of the stage. I think I would have been just as happy paying $200 for regular seats.  All we got was a tote bag, some posters and postcards. We got a VIP badge that did nothing for us as well. I felt taken advantage of.  The seats did not correlate to what was portrayed when we bought the tickets. The concert itself was absolutely amazing 🤩",Ticketing Issues
Taylor Swiftvwad amazing. Worth every penny! BC Stadium is by far he WORST venue I have seen a show at. All the concrete surfaces create terrible reverb/echos with the treble/high end.,Ticketing Issues
"While the concert was amazing, the events leading up to it were not. I, along with friends and family, registered to be selected to purchase TS tickets on Ticketmaster back in August 2023. There were 12 accounts all together, and NOT ONE OF US, got access to the sale. I was able to buy tickets off of my cousin TWO DAYS before the concert. She managed to get tickets on a drop TM did after the stage was set up. It was very sad to see so many tickets go to resellers for profit. I tried for 16 months to get face value tickets!!!",Ticketing Issues
"The Eras tour absolutely did rise up to all the hype! From Taylor herself, to the dancers, the set, the choreography it was a masterclass second to none show!",Amazing Production
"The Eras tour absolutely did rise up to all the hype! From Taylor herself, to the dancers, the set, the choreography it was a masterclass second to none show!",Taylor Swift's Energy
"We had a phenomenal time at the night 1 Taylor Swift concert in Vancouver. The energy in the city was incredible from the moment we arrived. The venue was great from staff to set up. Event staff were happy, warm and friendly. They brought in a lot of (clean!) port-o-Johns so the lines were never crazy. 
The concert was spectacular. Everything about her show is meticulously planned and Taylor is clearly in a league of her own. Her dancers, band and backup singers are also just fabulous. The crowd was so amped and loud, but she sounded clear and great. I would go again and again…. I hope I get another opportunity to see her.",Taylor Swift's Energy
"We had a phenomenal time at the night 1 Taylor Swift concert in Vancouver. The energy in the city was incredible from the moment we arrived. The venue was great from staff to set up. Event staff were happy, warm and friendly. They brought in a lot of (clean!) port-o-Johns so the lines were never crazy. 
The concert was spectacular. Everything about her show is meticulously planned and Taylor is clearly in a league of her own. Her dancers, band and backup singers are also just fabulous. The crowd was so amped and loud, but she sounded clear and great. I would go again and again…. I hope I get another opportunity to see her.",Amazing Production
"We had a phenomenal time at the night 1 Taylor Swift concert in Vancouver. The energy in the city was incredible from the moment we arrived. The venue was great from staff to set up. Event staff were happy, warm and friendly. They brought in a lot of (clean!) port-o-Johns so the lines were never crazy. 
The concert was spectacular. Everything about her show is meticulously planned and Taylor is clearly in a league of her own. Her dancers, band and backup singers are also just fabulous. The crowd was so amped and loud, but she sounded clear and great. I would go again and again…. I hope I get another opportunity to see her.",Atmosphere and Vibe
"We had a phenomenal time at the night 1 Taylor Swift concert in Vancouver. The energy in the city was incredible from the moment we arrived. The venue was great from staff to set up. Event staff were happy, warm and friendly. They brought in a lot of (clean!) port-o-Johns so the lines were never crazy. 
The concert was spectacular. Everything about her show is meticulously planned and Taylor is clearly in a league of her own. Her dancers, band and backup singers are also just fabulous. The crowd was so amped and loud, but she sounded clear and great. I would go again and again…. I hope I get another opportunity to see her.",Fan Community
"After taking a few days to reflect; I have come to the conclusion that Taylor Swift is a true visionary, and a pioneer, a beacon for girls and women world wide. Having attend her Eras Tour, not once, but twice, I think should speak for itself. I have never once been in a single place where nearly 65000 people- not just women/girls, were so unapologetic about their happiness and were loud in expressing it. I am so thankful for Taylor creating these safe spaces for everyone to get together, dance, since, and love together. So many memories created. Eras tour, you were so impactful for over 10.1 million people who have had the pleasure and immense luck in attending you. Cannot wait to see what Taylor decides to do next.",Taylor Swift's Energy
"After taking a few days to reflect; I have come to the conclusion that Taylor Swift is a true visionary, and a pioneer, a beacon for girls and women world wide. Having attend her Eras Tour, not once, but twice, I think should speak for itself. I have never once been in a single place where nearly 65000 people- not just women/girls, were so unapologetic about their happiness and were loud in expressing it. I am so thankful for Taylor creating these safe spaces for everyone to get together, dance, since, and love together. So many memories created. Eras tour, you were so impactful for over 10.1 million people who have had the pleasure and immense luck in attending you. Cannot wait to see what Taylor decides to do next.",Fan Community
"After taking a few days to reflect; I have come to the conclusion that Taylor Swift is a true visionary, and a pioneer, a beacon for girls and women world wide. Having attend her Eras Tour, not once, but twice, I think should speak for itself. I have never once been in a single place where nearly 65000 people- not just women/girls, were so unapologetic about their happiness and were loud in expressing it. I am so thankful for Taylor creating these safe spaces for everyone to get together, dance, since, and love together. So many memories created. Eras tour, you were so impactful for over 10.1 million people who have had the pleasure and immense luck in attending you. Cannot wait to see what Taylor decides to do next.",Memorable Night
"After taking a few days to reflect; I have come to the conclusion that Taylor Swift is a true visionary, and a pioneer, a beacon for girls and women world wide. Having attend her Eras Tour, not once, but twice, I think should speak for itself. I have never once been in a single place where nearly 65000 people- not just women/girls, were so unapologetic about their happiness and were loud in expressing it. I am so thankful for Taylor creating these safe spaces for everyone to get together, dance, since, and love together. So many memories created. Eras tour, you were so impactful for over 10.1 million people who have had the pleasure and immense luck in attending you. Cannot wait to see what Taylor decides to do next.",Magical Experience
"One of the greatest concerts i have seen and the greatest moment for my 9 year old.

However Ticketmaster needs to get their systems in order. Multiple times saying i am next in queue for tickets only to have it say sold out.",Best Concert Ever
"One of the greatest concerts i have seen and the greatest moment for my 9 year old.

However Ticketmaster needs to get their systems in order. Multiple times saying i am next in queue for tickets only to have it say sold out.",Ticketing Issues
"She’s connected to the crowd. Has a lively spirit time flies in the show. The dances, the stage is all intricately planned out. Truly a show that will live on forever.",Emotional Connection
"She’s connected to the crowd. Has a lively spirit time flies in the show. The dances, the stage is all intricately planned out. Truly a show that will live on forever.",Amazing Production
"She’s connected to the crowd. Has a lively spirit time flies in the show. The dances, the stage is all intricately planned out. Truly a show that will live on forever.",Atmosphere and Vibe
"The best event and experience ever. The bag policy could have been better about listing no lululemon bags, however I still had a wonderful time!",Best Concert Ever
"The best event and experience ever. The bag policy could have been better about listing no lululemon bags, however I still had a wonderful time!",Magical Experience
